created_at,text
2021-12-04 4:31:50,@mtdewliker olivia rodrigo slaps jean
2021-12-04 4:31:20,"RT @LIVIESGAlNS: rt if you stan olivia rodrigo !
follow me + everyone who rts 🍂"
2021-12-04 4:30:55,RT @livsreputation: As Olivia Rodrigo once said …… what do you want me to write about….. taxes????
2021-12-04 4:30:33,RT @PopCrave: Olivia Rodrigo shares a performance of “drivers license” with a rock arrangement from her Austin City Limits set in October.
2021-12-04 4:30:03,"Top 100 - Malaysia CLEAN 🇲🇾:

🥇 Adele (22 days)
🥈 The Kid LAROI, Justin Bieber
🥉 Troye Sivan
4️⃣ LISA
5️⃣ Taylor Sw… https://t.co/LKw9yT3oFk"
2021-12-04 4:30:01,"Joshua Bassett said he ""finally found the courage to speak up for myself.”
https://t.co/6Zh9RLUmKd"
2021-12-04 4:30:00,"RT @ORcentrals: 📊| Olivia Rodrigo's streams per month on Spotify 2021:

▫️January — 315.3M
▫️February — 215M
▫️March — 169.2M
▫️April — 226…"
2021-12-04 4:29:52,as if olivia rodrigo's massively successful career sits on his back. narcissism is an ugly trait. and so is hypocri… https://t.co/T7HI2YLCNL
2021-12-04 4:29:28,RT @tays_version_13: watching yall slowly give Olivia Rodrigo the Taylor Swift treatment and I won't stand for it. When I say I'm protectin…
2021-12-04 4:29:22,"RT @CarineK: Twitter isn't the real world. We are just a very loud minority. In the real, nobody cares about Joshua. People barely know of…"
2021-12-04 4:29:11,Olivia Rodrigo - drivers license (Live From Austin City Limits) https://t.co/7X2348cfD7 @YouTubeより
2021-12-04 4:28:55,RT @TSwiftNeedsYou: What is really interesting &amp; pleasantly surprising watching the Olivia Rodrigo &amp; Joshua something drama play out is the…
2021-12-04 4:28:43,RT @stelenasmp3: protecting both joshua basset and olivia rodrigo at all costs neither of them deserve hate https://t.co/mm2urusRTM
2021-12-04 4:28:35,"RT @remswift13: hi im not new but im a flop. rt if u like 

sabrina carpenter 
madison beer
ariana grande
taylor swift
joshua basset
olivia…"
2021-12-04 4:28:21,RT @hoefornetflix: i just think olivia rodrigo and joshua bassett should settle their problems with a rap battle
2021-12-04 4:27:25,RT @jelousyliv: ‘SOUR’ being named the best album of 2021 by rolling stone?! olivia rodrigo keeps winning https://t.co/Gwlc3ng795
2021-12-04 4:27:18,"But yes, I did still listen to a fair amount of Olivia Rodrigo, Lizzo, Billie Eilish, and Taylor Swift this year, t… https://t.co/npqACXytsB"
2021-12-04 4:27:17,RT @colourmeblur: you can enjoy olivia rodrigo and joshua bassett and sabrina carpenter at the same time and that’s fine !!!! just grow up…
2021-12-04 4:27:03,RT @jelousyliv: ‘SOUR’ being named the best album of 2021 by rolling stone?! olivia rodrigo keeps winning https://t.co/Gwlc3ng795
2021-12-04 4:26:36,RT @timeforjupiter: All these people saying Joshua Bassett is Olivia Rodrigo's John Mayer or Jake Gyllenhaal are so incorrect. He's a Disne…
2021-12-04 4:26:09,RT @PopBase: Rolling Stone names ‘SOUR’ by Olivia Rodrigo the best album of 2021. https://t.co/rHLirjdP9p
2021-12-04 4:25:59,"RT @hqrodrigo: just olivia rodrigo holding the #1 album of the year, no biggie https://t.co/OS6JSD6WpM"
2021-12-04 4:25:58,RT @taysdaisyy: we as a society need to protect olivia rodrigo from getting the taylor swift treatment
2021-12-04 4:25:58,"RT @TayliviaTeam: 🎧| @Olivia_Rodrigo on Most Streamed Female Artists on Spotify 

11/30: #7 (=) 10.9M 
12/01: #7 (=) 13.1M 
12/02: #7 (=) 1…"
2021-12-04 4:25:56,olivia rodrigo might not toxic but her fandom is sure rotten to the bone
2021-12-04 4:25:43,RT @livsreputation: As Olivia Rodrigo once said …… what do you want me to write about….. taxes????
2021-12-04 4:25:25,"@drewsmenu I think it's the one from Olivia Rodrigo, she wrote songs about him"
2021-12-04 4:25:06,RT @stelenasmp3: protecting both joshua basset and olivia rodrigo at all costs neither of them deserve hate https://t.co/mm2urusRTM
2021-12-04 4:24:59,RT @PopBase: Rolling Stone names ‘SOUR’ by Olivia Rodrigo the best album of 2021. https://t.co/rHLirjdP9p
2021-12-04 4:24:46,"*Joshua Bassett releases EP entirely about Olivia Rodrigo*

comments: ""it doesn't matter what their songs are about… https://t.co/2cXZ2wqdDa"
2021-12-04 4:24:45,alright who wants to chat about joshua bassett and olivia rodrigo
2021-12-04 4:24:21,RT @taysdaisyy: we as a society need to protect olivia rodrigo from getting the taylor swift treatment
2021-12-04 4:24:17,Stg Olivia Rodrigo got breast implants
2021-12-04 4:24:11,Cuando Olivia Rodrigo dijo “They say these are the golden years but I wish I could disappear” bro I really feel that 😫
2021-12-04 4:23:57,joshua basset and olivia rodrigo the gen z version of harry styles and taylor swift lmao i love ✨shady music✨
2021-12-04 4:23:37,RT @etnow: Joshua Bassett and Olivia Rodrigo haven't spoken in quite a while. https://t.co/4nfTxeLrTL
2021-12-04 4:23:32,RT @timeforjupiter: All these people saying Joshua Bassett is Olivia Rodrigo's John Mayer or Jake Gyllenhaal are so incorrect. He's a Disne…
2021-12-04 4:23:19,Olivia Rodrigo – traitor (live from SOUR prom) https://t.co/WcY0Pe9BHg via @YouTube
2021-12-04 4:22:47,RT @livsreputation: As Olivia Rodrigo once said …… what do you want me to write about….. taxes????
2021-12-04 4:22:39,RT @SaintEverlore: the demonization of olivia rodrigo is reminiscent to the demonization of taylor during the speak now era with john mayer…
2021-12-04 4:21:52,RT @soursIover: just olivia rodrigo holding her GRAMMY NOMINATED album 💜🥲 https://t.co/0vg8OpwIFv
2021-12-04 4:21:39,Very annoyed by Olivia Rodrigo’s existence because I want to be her so bad it’s not fair
